publication_date,weekday,slug,format,topic,why_now,research_horizon,status
2026-08-24,Montag,krankenfahrt-anfragen-welche-angaben,Ratgeber,Erforderliche Angaben für eine Fahrtanfrage,Grundlage für alle weiteren organisatorischen Beiträge,2026-08-19 bis 2026-09-30,approved_for_publish
2026-08-27,Donnerstag,muster-4-krankenbefoerderung,Ratgeber,Muster 4 verständlich erklären,Baut auf der Fahrtanfrage auf und klärt die wichtigste Unterlage,2026-08-19 bis 2026-09-30,approved_for_publish
2026-08-31,Montag,dialysefahrten-als-serienfahrt-planen,Ratgeber,Dialysefahrten als Terminserie,Passend für langfristige September-Terminserien,2026-08-19 bis 2026-09-30,approved_for_publish
2026-09-03,Donnerstag,krankenfahrt-nach-krankenhausentlassung,Ratgeber,Entlassungsfahrt organisieren,Konkrete Hilfe für Fahrgäste und Angehörige,2026-08-19 bis 2026-09-30,approved_for_publish
2026-09-07,Montag,genehmigung-krankenfahrt-ambulante-behandlung,Ratgeber,Genehmigung ambulanter Krankenfahrten,Vertieft die häufigste versicherungsrechtliche Rückfrage,2026-08-19 bis 2026-09-30,approved_for_publish
2026-09-10,Donnerstag,zuzahlung-krankenfahrt,Ratgeber,5- bis 10-Euro-Zuzahlung,Folgt logisch auf Genehmigung und beantwortet eine klare Kostenfrage,2026-08-19 bis 2026-09-30,approved_for_publish
2026-09-14,Montag,reha-therapiefahrten-kosten-vorab-klaeren,Einordnung,Kosten bei Reha- und Therapiefahrten,Korrigiert eine häufige pauschale Annahme zur Kostenübernahme,2026-08-19 bis 2026-09-30,approved_for_publish
2026-09-17,Donnerstag,patientensicherheit-regelmaessige-krankenfahrten,Aktuelle Information,Welttag der Patientensicherheit 2026,Veröffentlichung exakt am offiziellen WHO-Aktionstag,2026-08-19 bis 2026-09-30,approved_for_publish
"2026-09-21","Montag","krankenfahrt-fuer-angehoerige-organisieren","Ratgeber","Krankenfahrt für Angehörige organisieren: Wer stimmt was ab?","Neuer Schwerpunkt Angehörige; Organisation aus der Ferne vor den Herbstferien.","2026-09-21 bis 2026-10-15","approved_for_publish"
"2026-09-24","Donnerstag","hochtaunus-kliniken-bad-homburg-abholung","Ratgeber","Fahrt zu den Hochtaunus-Kliniken: Treffpunkt und Abholung klären","Lokaler Nutzwert statt weiterer allgemeiner Kostentexte.","2026-09-21 bis 2026-10-15","approved_for_publish"
"2026-09-28","Montag","herbstferien-hessen-2026-krankenfahrten-planen","Ratgeber","Herbstferien 2026 in Hessen: Krankenfahrten rechtzeitig abstimmen","Eine Woche vor Beginn der amtlichen hessischen Herbstferien.","2026-09-21 bis 2026-10-15","approved_for_publish"
"2026-10-01","Donnerstag","begleitperson-krankenfahrt-abstimmen","Ratgeber","Begleitperson bei der Krankenfahrt: Was vorher geklärt sein sollte","Praktische Ergänzung zur Angehörigenplanung zum Monatsbeginn.","2026-09-21 bis 2026-10-15","approved_for_publish"
"2026-10-05","Montag","rueckfahrt-behandlungsende-offen","Ratgeber","Behandlungsende noch offen: So stimmen Sie die Rückfahrt ab","Organisation während der Herbstferien ohne unbelegte Klinik-Wartezeitprognosen.","2026-09-21 bis 2026-10-15","approved_for_publish"
"2026-10-08","Donnerstag","arzttermin-verschoben-krankenfahrt-aendern","Ratgeber","Arzttermin verschoben: Eine vereinbarte Krankenfahrt richtig ändern","Konkrete Änderungssituation mit Nutzen auch für Serienfahrten.","2026-09-21 bis 2026-10-15","approved_for_publish"
"2026-10-12","Montag","arztfahrt-unterlagen-fahrtdaten-trennen","Ratgeber","Arztfahrt vorbereiten: Unterlagen für die Praxis und Daten für den Fahrer","Praktische Checkliste vor der Rückkehr in den Alltag nach den Herbstferien.","2026-09-21 bis 2026-10-15","approved_for_publish"
"2026-10-15","Donnerstag","serienfahrten-monatswechsel-terminliste","Ratgeber","Serienfahrten zum Monatswechsel: Eine Terminliste mit klarem Stand","Planung der Novembertermine rechtzeitig vor Monatsende.","2026-09-21 bis 2026-10-15","approved_for_publish"
