source_id,type,title,location_or_url,sha256,authority,allowed_use,reviewed_at,status
LOCAL-001,local,Package- und Buildkonfiguration,package.json,a4a1325b55df0b1f176cd68ff9eb7500f3e023d96534309f1453aaa8af7288bc,project,architecture,2026-08-11,verified
LOCAL-002,local,FTPS-Deploymentstrecke,scripts/deploy-ftp.sh,3bfa7388fb56770cfd62e999c22be285fa5abc3e1061e8cd7d932a750069b747,project,deployment,2026-08-11,verified
LOCAL-003,local,Bestätigte Leistungen,src/content/services.ts,d84f6020a3336dc02305f4811907250c1f59ee982e484d8875ac13ad011cd94e,operator-approved,service-claims,2026-08-11,verified
LOCAL-004,local,Bestätigte FAQ,src/content/faq.ts,9e589c5a5628c7974222e832014fc5ee4de6b454a392abe6da3b95af6fca1ef1,operator-approved,service-claims,2026-08-11,verified
LOCAL-005,local,Bestätigte Orte,src/content/locations.ts,d9c85ffdc2ad3315224ca6a356f0ad413ee9389ee12b0f533c61ca368946dc01,operator-approved,regional-claims,2026-08-11,verified
LOCAL-006,local,Unternehmens- und Kontaktkonfiguration,src/lib/site-config.ts,860a34693f60d1600586f91fa60fe3326859eba84cd8b8bcd68ff8f7b44df4ce,operator-approved,identity-and-contact,2026-08-11,verified
LOCAL-007,local,Rechtliche Prüfliste,deployment/legal-review-checklist.md,1e2b39d83b0d5a677afbe47e5cbffde2c294b2549bbedd8ee65c2559cf0e71be,project,release-gates,2026-08-11,verified
LOCAL-008,local,Redaktionelle Richtlinie,automation/blog/editorial-policy.md,1d84a1d6346fdbfc42df770a2e05f6e7b097870cdb2413f60a9a2355648e696c,project,editorial-boundaries,2026-08-11,verified
WEB-001,web,Krankentransport-Richtlinie,https://www.g-ba.de/richtlinien/25/,,primary,regulation,2026-08-11,verified
WEB-002,web,Krankenbeförderung,https://www.g-ba.de/themen/veranlasste-leistungen/krankenbefoerderung/,,primary,regulation-explanation,2026-08-11,verified
WEB-003,web,Krankenbeförderung,https://www.kbv.de/praxis/verordnungen/krankenbefoerderung,,primary,prescription-and-form-4,2026-08-11,verified
WEB-004,web,Fahrkosten,https://www.bundesgesundheitsministerium.de/fahrkosten,,primary,cost-coverage-and-copayment,2026-08-11,verified
WEB-005,web,Scheduled tasks,https://learn.chatgpt.com/docs/automations,,primary,automation-architecture,2026-08-11,verified
WEB-006,web,OpenAI Responses API web search,https://platform.openai.com/docs/guides/tools-web-search,,primary,future-api-alternative,2026-08-11,verified
WEB-007,web,GitHub Actions workflow schedule,https://docs.github.com/en/actions/reference/workflows-and-actions/workflow-syntax#onschedule,,primary,future-runner-alternative,2026-08-11,verified
WEB-008,web,Meta Pages API posts,https://developers.facebook.com/docs/pages-api/posts/,,primary,facebook-publishing,2026-08-11,pending-access-review
